Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
cell cycle,G2/M protein kinase,G2/M,YMR001C,CDC5,CDC5,lethal,Known,"Serine/threonine protein kinase of the polo family of protein kinases, required for exit from mitosis and may be involved in operation of the mitotic spindle",9.901
cell wall integrity and stress response,unknown,G2/M,YHL028W,WSC4,WSC4,viable,New,"cell Wall integrity and Stress response Component; has similarity to Slg1p, Wsc2p, and Wsc3p",9.908
DNA replication,DNA polymerase processivity factor,G1,YBR088C,POL30,POL30,lethal,Known,"Proliferating cell nuclear antigen (PCNA), required for DNA synthesis and DNA repair",10.05
cell cycle,G2/M cyclin,G2/M,YPR119W,CLB2,CLB2,viable,Known,B-type cyclin,10.05
unknown,unknown,G1,YLR183C,YLR183C,YLR183C,undocumented,New,"contains a forkhead-associated (FHA) domains, which is found almost entirely among nuclear proteins",10.31
chromatin structure,histone H2A,S,YBL003C,HTA2,HTA2,viable,Known,Histone H2A (HTA1 and HTA2 code for identical proteins),10.32
"meiosis, synapsis",DNA binding protein,S/G2,YIL072W,HOP1,HOP1,viable,New,"Meiosis-specific protein associated with lateral elements of the synaptonemal complex, involved in homologous chromosome synapsis and chiasmata formation ",10.36
chromatin structure,histone H2B,S,YDR224C,HTB1,HTB1,viable,Known,Histone H2B (HTB1 and HTB2 code for nearly identical proteins),10.38
cell wall biogenesis,chitin synthase 3 subunit,G1,YOL007C,CSI2,CSI2,viable,New,may be a structural component of the chitin synthase 3 complex,10.52
unknown,unknown,G2/M,YLR190W,YLR190W,YLR190W,undocumented,New,novel,10.65
chromatin structure,histone H2A,S,YDR225W,HTA1,HTA1,viable,Known,Histone H2A (HTA1 and HTA2 code for identical proteins),10.68
thiamine uptake,"acid phosphatase, constitutive",G2/M,YBR092C,PHO3,PHO3,undocumented,New,acid phosphatase,10.74
unknown,unknown,G1,YGL028C,YGL028C,YGL028C,undocumented,New,similarity to hypothetical proteins YGR279c and YMR305c,10.82
heat shock response,secreted glycoprotein of HSP family,M/G1,YJL159W,HSP150,HSP150,viable,New,member of the Pir1p/Hsp150p/Pir3p family,10.86
cell cycle,G1/S cyclin,G1,YPL256C,CLN2,CLN2,viable,Known,G1 cyclin,10.9
cytokinesis,unknown,G2/M,YMR032W,CYK2,HOF1,undocumented,New,"has potential coiled-coil region, and is involved in cytokinesis",10.97
cell wall biogenesis,endochitinase,G1,YLR286C,CTS1,CTS1,viable,Known,null mutant is defective in cell separation but has roughly normal level of cellular chitin,11.2
unknown,similar to Yro2p,G2/M,YDR033W,YDR033W,YDR033W,undocumented,Known,High similarity to YRO2 (see above),11.64
mating type switching,transcription factor,M/G1,YKL185W,ASH1,ASH1,viable,Known,asymmetric synthesis of HO; also involved in pseudohyphal development,11.8
unknown,similar to members of the Pir1p/Hsp150p/Pir3p,M/G1,YKL163W,PIR3,PIR3,viable,New,has 80% identity to Hsp150p,12.51
cell cycle,unknown,M/G1,YNL327W,EGT2,EGT2,viable,Known,"involved in mother-daughter cell disjunction, most likely through the metabolism of glucans; null mutant has delayed cell separation",12.61
unknown,putative heat shock protein,G2/M,YBR054W,YRO2,YRO2,undocumented,Known,"Protein with similarity to heat shock protein YDR033w and Hsp30p, has 7 potential transmembrane domains",12.97
unknown,Pir1p/Hsp150p/Pir3p family,M/G1,YKL164C,PIR1,PIR1,viable,New,"has 84% identity to Hsp150p ; unlike HSP150, PIR1 transcription is not induced by heat; pir1 pir2 double null mutant has slow growth and is heat sensitive",15.99
