"initial_alias","converted_alias","name","description","namespace"
"YBL097W","YBL097W","BRN1","Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission [Source:SGD;Acc:S000000193]","ENSG,ENSP"
"YBL099W","YBL099W","ATP1","Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo [Source:SGD;Acc:S000000195]","ENSG,ENSP"
"YBL100C","YBL100C","YBL100C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1 [Source:SGD;Acc:S000000196]","ENSG,ENSP"
"YBL101W-A","None","None","None",""
"YBL103C","YBL103C","RTG3","bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways; forms a complex with another bHLH/Zip protein, Rtg1p, to activate the pathways; target of Hog1p [Source:SGD;Acc:S000000199]","ENSG,ENSP"
"YBL104C","YBL104C","SEA4","Subunit of SEACAT, a subcomplex of the SEA complex; Sea4p, along with Rtc1p and Mtc5p, redundantly inhibit the TORC1 inhibitory role of the Iml1p/SEACIT (Iml1p-Npr2p-Npr3p) subcomplex, a GAP for GTPase Gtr1p (EGOC subunit) in response to amino acid limitation, thereby resulting in activation of TORC1 signaling; SEA is a coatomer-related complex that associates dynamically with the vacuole; contains an N-terminal beta-propeller fold and a C-terminal RING motif [Source:SGD;Acc:S000000200]","ENSG,ENSP,ENTREZGENE"
"YBL106C","YBL106C","SRO77","Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; regulates cell proliferation and colony development via the Rho1-Tor1 pathway; interacts with SNARE protein Sec9p; homolog of Drosophila lethal giant larvae tumor suppressor; SRO77 has a paralog, SRO7, that arose from the whole genome duplication [Source:SGD;Acc:S000000202]","ENSG,ENSP"
"YBL107C","YBL107C","MIX23","Mitochondrial intermembrane space protein of unknown function; imported via the MIA import machinery; contains an unusual twin cysteine motif (CX13C CX14C) [Source:SGD;Acc:S000000203]","ENSG,ENSP"
"YBL107W-A","YBL107W-A","YBL107W-A","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty2 LTR YBLWdelta2; YBL107W-A has a paralog, YER138W-A, that arose from a single-locus duplication [Source:SGD;Acc:S000007229]","ENSG,ENSP"
"YBR001C","YBR001C","NTH2","Putative neutral trehalase, required for thermotolerance; may mediate resistance to other cellular stresses; NTH2 has a paralog, NTH1, that arose from the whole genome duplication [Source:SGD;Acc:S000000205]","ENSG,ENSP"
"YBR003W","YBR003W","COQ1","Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis [Source:SGD;Acc:S000000207]","ENSG,ENSP"
"YBR008C","YBR008C","FLR1","Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole, diazaborine, benomyl, methotrexate, and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress [Source:SGD;Acc:S000000212]","ENSG,ENSP"
"YBR010W","YBR010W","HHT1","Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage [Source:SGD;Acc:S000000214]","ENSG,ENSP"
"YBR011C","YBR011C","IPP1","Cytoplasmic inorganic pyrophosphatase (PPase); homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase [Source:SGD;Acc:S000000215]","ENSG,ENSP"
"YBR012W-B","YBR012W-B","YBR012W-B","Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes [Source:SGD;Acc:S000002155]","ENSG,ENST"
"YBR016W","YBR016W","YBR016W","Tail-anchored plasma membrane protein with a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions; YBR016W has a paralog, YDL012C, that arose from the whole genome duplication [Source:SGD;Acc:S000000220]","ENSG,ENSP"
"YBR020W","YBR020W","GAL1","Galactokinase; phosphorylates alpha-D-galactose to alpha-D-galactose-1-phosphate in the first step of galactose catabolism; expression regulated by Gal4p; human homolog GALK2 complements yeast null mutant; GAL1 has a paralog, GAL3, that arose from the whole genome duplication [Source:SGD;Acc:S000000224]","ENSG,ENSP"
"YBR021W","YBR021W","FUR4","Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation [Source:SGD;Acc:S000000225]","ENSG,ENSP"
"YBR022W","YBR022W","POA1","Phosphatase that is highly specific for ADP-ribose 1''-phosphate; a tRNA splicing metabolite; may have a role in regulation of tRNA splicing [Source:SGD;Acc:S000000226]","ENSG,ENSP"
"YBR025C","YBR025C","OLA1","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress [Source:SGD;Acc:S000000229]","ENSG,ENSP"
"YBR027C","YBR027C","YBR027C","Putative protein of unknown function; conserved among S. cerevisiae strains; YBR027C is not an essential gene [Source:SGD;Acc:S000000231]","ENSG,ENSP"
"YBR028C","YBR028C","YPK3","AGC kinase; phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner; directly phosphorylated by TORC1; phosphorylates ribosomal protein Rps6a/b (S6), in a TORC-dependent manner; undergoes autophosphorylation [Source:SGD;Acc:S000000232]","ENSG,ENSP"
"YBR033W","YBR033W","EDS1","Putative zinc cluster protein, predicted to be a transcription factor; not an essential gene; EDS1 has a paralog, RGT1, that arose from the whole genome duplication [Source:SGD;Acc:S000000237]","ENSG,ENSP"
"YBR034C","YBR034C","HMT1","Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p, ribosomal protein Rps2p, and histones H3 and H4; interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region [Source:SGD;Acc:S000000238]","ENSG,ENSP"
"YBR035C","YBR035C","PDX3","Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism [Source:SGD;Acc:S000000239]","ENSG,ENSP"
"YBR036C","YBR036C","CSG2","Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000240]","ENSG,ENSP"
"YBR038W","YBR038W","CHS2","Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis [Source:SGD;Acc:S000000242]","ENSG,ENSP"
"YBR040W","YBR040W","FIG1","Integral membrane protein required for efficient mating; may participate in or regulate the low affinity Ca2+ influx system, which affects intracellular signaling and cell-cell fusion during mating [Source:SGD;Acc:S000000244]","ENSG,ENSP"
"YBR042C","YBR042C","CST26","Acyltransferase; enzyme mainly responsible for the introduction of saturated very long chain fatty acids into neo-synthesized molecules of phosphatidylinositol; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a paralog, YDR018C, that arose from the whole genome duplication [Source:SGD;Acc:S000000246]","ENSG,ENSP"
"YBR043C","YBR043C","QDR3","Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1, and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin [Source:SGD;Acc:S000000247]","ENSG,ENSP"
"YBR044C","YBR044C","TCM62","Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone [Source:SGD;Acc:S000000248]","ENSG,ENSP"
"YBR045C","YBR045C","GIP1","Meiosis-specific regulatory subunit of the Glc7p protein phosphatase; regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal localization of Glc7p [Source:SGD;Acc:S000000249]","ENSG,ENSP"
"YBR047W","YBR047W","FMP23","Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000000251]","ENSG,ENSP"
"YBR048W","YBR048W","RPS11B","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog, RPS11A, that arose from the whole genome duplication [Source:SGD;Acc:S000000252]","ENSG,ENSP"
"YBR049C","YBR049C","REB1","RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription [Source:SGD;Acc:S000000253]","ENSG,ENSP"
"YBR053C","YBR053C","YBR053C","Putative protein of unknown function; induced by cell wall perturbation [Source:SGD;Acc:S000000257]","ENSG,ENSP"
"YBR054W","YBR054W","YRO2","Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000000258]","ENSG,ENSP"
"YBR055C","YBR055C","PRP6","Splicing factor; component of the U4/U6-U5 snRNP complex [Source:SGD;Acc:S000000259]","ENSG,ENSP"
"YBR056W","YBR056W","YBR056W","Putative glycoside hydrolase of the mitochondrial intermembrane space [Source:SGD;Acc:S000000260]","ENSG,ENSP"
"YBR057C","YBR057C","MUM2","Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p, which is a component of the origin recognition complex [Source:SGD;Acc:S000000261]","ENSG,ENSP"
"YBR058C","YBR058C","UBP14","Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T [Source:SGD;Acc:S000000262]","ENSG,ENSP"
"YBR059C","YBR059C","AKL1","Ser-Thr protein kinase; member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization [Source:SGD;Acc:S000000263]","ENSG,ENSP"
"YBR060C","YBR060C","ORC2","Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p [Source:SGD;Acc:S000000264]","ENSG,ENSP"
"YBR061C","YBR061C","TRM7","2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID) [Source:SGD;Acc:S000000265]","ENSG,ENSP"
"YBR063C","YBR063C","YBR063C","Putative protein of unknown function; YBR063C is not an essential gene [Source:SGD;Acc:S000000267]","ENSG,ENSP"
"YBR064W","YBR064W","YBR064W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR063C [Source:SGD;Acc:S000000268]","ENSG,ENSP"
"YBR065C","YBR065C","ECM2","Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p [Source:SGD;Acc:S000000269]","ENSG,ENSP"
